customer_id,transaction_id,ship_to_address,ship_to_address_1,ship_to_city,ship_to_country,ship_to_customer_number,ship_to_email,ship_to_name,ship_to_phone,ship_to_state,ship_to_zip,first_time_customer,order_dollar_amount,num_items,age,web_order,total_transactions_to_date,hour_of_day
10000,1,?,54365 North Nauru St.,Alhambra,USA,126874,Reece@quis.gov,Keefe *Forbes,872-633-5390,NH,97790,N,964.7,19,104.7,Y,40,7
10001,2,?,27526 West Lithuania Blvd.,Steubenville,USA,517546,Adrian@Cras.com,Yetta *Watts,389-122-3414,WY,39356,N,524.1,15,24.2,N,55,4
10002,3,?,20254 East Chad Ct.,New Bedford,USA,7,Lawrence@convallis.gov,Laith *Decker,733-387-6994,TX,14773,N,234.2,18,13.8,Y,66,15
10003,4,?,85530 West Slovenia Blvd.,Youngstown,USA,731848,Zorita@cursus.us,Imogene *Keller,876-689-9092,WV,50189,Y,207.7,8,56.3,N,45,23
10004,5,?,9093 East Zambia Way,Scottsbluff,USA,163314,Jaime@molestie.edu,Yasir *Pate,556-216-6989,ME,35249,Y,910.6,11,59.1,N,31,23
10005,6,?,35855 South Catskill St.,Taunton,USA,665400,Prescott@Etiam.com,Kelly *Spencer,548-960-5593,PA,58209,Y,837.3,4,73.7,N,64,21
10006,7,?,28707  Belize Ct.,Milford,USA,316621,Keith@rutrum.edu,Whilemina *Holloway,872-736-6175,NC,47091,Y,724.4,11,108.7,N,72,2
10007,8,?,1895 West Qatar Ct.,College Station,USA,987682,Serena@nonummy.com,Jane *Mcintyre,117-626-7989,ND,96618,Y,354.8,12,39.2,Y,75,9
10008,9,?,81452 North Saint Lucia Ln.,Fullerton,USA,187175,Charity@hendrerit.org,Mona *Dunn,815-700-2587,MN,36373,N,730.8,18,14.4,N,87,1
10009,10,?,41556 East Iceland Ct.,Fall River,USA,366659,Sybill@urna.org,Maggy *Mccray,579-518-5267,OH,33341,Y,338.7,13,41.5,N,46,11
10010,11,?,77033 North Denmark Ave.,Monroe,USA,420831,Bruno@morbi.gov,Hakeem *Wong,719-027-4876,NC,91051,N,677.1,15,84.3,Y,59,2
10011,12,?,55067 East Kennesaw Blvd.,Huntsville,USA,184266,Colin@Pellentesque.edu,Courtney *Alvarado,251-814-9040,MT,56231,Y,307.5,18,73,Y,20,3
10012,13,?,46274 South Duquesne St.,West Hartford,USA,302046,Shad@condimentum.gov,Flynn *Doyle,085-166-0689,TN,30424,N,379.6,16,81.3,N,77,7
10013,14,?,5659  Antarctica St.,Roseville,USA,338079,Colorado@erat.us,Chanda *Sherman,105-526-2380,MI,77061,Y,427.4,9,84.4,N,77,12
10014,15,?,81743 North Venezuela Ct.,La Puente,USA,851757,Kiona@accumsan.gov,John *Erickson,160-947-8267,TN,34861,N,132.2,1,54.4,Y,72,6
10015,16,?,44981 East Boise Ct.,Wichita Falls,USA,361313,Vivian@imperdiet.com,Cade *Battle,385-046-9820,SD,67640,Y,573.2,12,35,Y,73,5
10016,17,?,45376 South Norway Ct.,Charleston,USA,912971,Leonard@lorem.net,Fletcher *Chang,171-166-1669,MT,88912,N,445.8,17,70.2,Y,31,22
10017,18,?,64043 West Brookfield Blvd.,Rehoboth Beach,USA,317404,Blaze@eget.edu,Darius *Justice,065-643-4889,SC,87984,N,230.2,7,47.2,Y,81,6
10018,19,?,94541 East Antigua and Barbuda Ln.,Orangeburg,USA,535791,Hedy@pharetra.org,Elaine *Mills,648-596-1204,VA,23149,N,670.8,2,70.9,N,3,6
10019,20,?,84647 East Hagerstown Ave.,Virginia Beach,USA,104907,Alfonso@ullamcorper.com,Noble *Farley,153-867-3825,WV,5856,N,692.2,7,32.8,N,60,12
10020,21,?,30472 North Narragansett Blvd.,Williamsport,USA,936218,Lane@auctor.net,Sara *Peck,654-936-8214,IL,96964,N,54.1,13,78.2,Y,37,16
10021,22,?,12680  Glendale Ave.,Peabody,USA,273650,Chaim@pede.org,Maisie *Douglas,175-124-6620,TX,96490,N,445.6,15,13,Y,32,3
10022,23,?,82224 West Portland Blvd.,Marshfield,USA,175455,Brody@porttitor.net,Uma *Rios,391-777-8269,GA,43038,N,320.7,11,62.2,N,70,23
10023,24,?,78179 North Bulgaria Blvd.,Sunbury,USA,363932,Ray@nec.net,Isadora *Bullock,040-644-4308,AL,48189,N,24.6,2,15.2,N,82,8
10024,25,?,54994 East Amesbury Ave.,Saint Louis,USA,561001,Hasad@eros.com,Morgan *Martin,475-860-4773,OR,79566,N,12.2,16,20,Y,75,2
10025,26,?,12808 East Bulgaria Ave.,Pasadena,USA,884123,Grant@sociis.edu,Micah *Crane,518-155-2431,AK,74829,Y,209.8,19,12.8,Y,64,2
10026,27,?,74312 South Austria St.,St. Petersburg,USA,993503,Kellie@taciti.net,Tasha *Jarvis,653-638-3569,MN,56865,Y,819.8,5,93.4,N,65,19
